"sim" "time" "unit" "par_set"
85 0.1361699 "mins" "params_EndSize0d1Carring_competition_0d5"
86 0.2414148 "mins" "params_EndSize0d1Carring_competition_0d5"
87 0.1316027 "mins" "params_EndSize0d1Carring_competition_0d5"
88 0.1327866 "mins" "params_EndSize0d1Carring_competition_0d5"
89 0.1578818 "mins" "params_EndSize0d1Carring_competition_0d5"
90 0.1875293 "mins" "params_EndSize0d1Carring_competition_0d5"
91 0.1949411 "mins" "params_EndSize0d1Carring_competition_0d5"
92 0.1108118 "mins" "params_EndSize0d1Carring_competition_0d5"
93 0.1564841 "mins" "params_EndSize0d1Carring_competition_0d5"
94 0.1246842 "mins" "params_EndSize0d1Carring_competition_0d5"
95 0.1304627 "mins" "params_EndSize0d1Carring_competition_0d5"
96 0.07893183 "mins" "params_EndSize0d1Carring_competition_0d5"
97 0.1741584 "mins" "params_EndSize0d1Carring_competition_0d5"
98 0.1084676 "mins" "params_EndSize0d1Carring_competition_0d5"
99 0.104243 "mins" "params_EndSize0d1Carring_competition_0d5"
100 0.09012832 "mins" "params_EndSize0d1Carring_competition_0d5"
1 0.08645457 "mins" "params_EndSize0d1Carring_competition_0d7"
2 0.1930287 "mins" "params_EndSize0d1Carring_competition_0d7"
3 0.1372046 "mins" "params_EndSize0d1Carring_competition_0d7"
4 0.09210636 "mins" "params_EndSize0d1Carring_competition_0d7"
5 0.1428633 "mins" "params_EndSize0d1Carring_competition_0d7"
6 0.1771996 "mins" "params_EndSize0d1Carring_competition_0d7"
7 0.0997399 "mins" "params_EndSize0d1Carring_competition_0d7"
8 0.09412844 "mins" "params_EndSize0d1Carring_competition_0d7"
9 0.07859576 "mins" "params_EndSize0d1Carring_competition_0d7"
10 0.1062639 "mins" "params_EndSize0d1Carring_competition_0d7"
11 0.08442039 "mins" "params_EndSize0d1Carring_competition_0d7"
12 0.1381792 "mins" "params_EndSize0d1Carring_competition_0d7"
13 0.1059134 "mins" "params_EndSize0d1Carring_competition_0d7"
14 0.1875177 "mins" "params_EndSize0d1Carring_competition_0d7"
15 0.08347663 "mins" "params_EndSize0d1Carring_competition_0d7"
16 0.2141335 "mins" "params_EndSize0d1Carring_competition_0d7"
17 0.1072138 "mins" "params_EndSize0d1Carring_competition_0d7"
18 0.09582249 "mins" "params_EndSize0d1Carring_competition_0d7"
19 0.1657326 "mins" "params_EndSize0d1Carring_competition_0d7"
20 0.1212008 "mins" "params_EndSize0d1Carring_competition_0d7"
21 0.07765234 "mins" "params_EndSize0d1Carring_competition_0d7"
22 0.09721357 "mins" "params_EndSize0d1Carring_competition_0d7"
23 0.09883287 "mins" "params_EndSize0d1Carring_competition_0d7"
24 0.108516 "mins" "params_EndSize0d1Carring_competition_0d7"
25 0.09871753 "mins" "params_EndSize0d1Carring_competition_0d7"
26 0.08373164 "mins" "params_EndSize0d1Carring_competition_0d7"
27 0.1120301 "mins" "params_EndSize0d1Carring_competition_0d7"
28 0.154883 "mins" "params_EndSize0d1Carring_competition_0d7"
29 0.09605413 "mins" "params_EndSize0d1Carring_competition_0d7"
30 0.1873063 "mins" "params_EndSize0d1Carring_competition_0d7"
31 0.1675603 "mins" "params_EndSize0d1Carring_competition_0d7"
32 0.1096791 "mins" "params_EndSize0d1Carring_competition_0d7"
33 0.1072497 "mins" "params_EndSize0d1Carring_competition_0d7"
34 0.1035492 "mins" "params_EndSize0d1Carring_competition_0d7"
35 0.1215978 "mins" "params_EndSize0d1Carring_competition_0d7"
36 0.1070877 "mins" "params_EndSize0d1Carring_competition_0d7"
37 0.1126132 "mins" "params_EndSize0d1Carring_competition_0d7"
38 0.1632201 "mins" "params_EndSize0d1Carring_competition_0d7"
39 0.08367198 "mins" "params_EndSize0d1Carring_competition_0d7"
40 0.1097682 "mins" "params_EndSize0d1Carring_competition_0d7"
41 0.1116673 "mins" "params_EndSize0d1Carring_competition_0d7"
42 0.09864434 "mins" "params_EndSize0d1Carring_competition_0d7"
43 0.1255958 "mins" "params_EndSize0d1Carring_competition_0d7"
44 0.1264929 "mins" "params_EndSize0d1Carring_competition_0d7"
45 0.1227874 "mins" "params_EndSize0d1Carring_competition_0d7"
46 0.1466439 "mins" "params_EndSize0d1Carring_competition_0d7"
47 0.1642698 "mins" "params_EndSize0d1Carring_competition_0d7"
48 0.1514753 "mins" "params_EndSize0d1Carring_competition_0d7"
49 0.0971431 "mins" "params_EndSize0d1Carring_competition_0d7"
50 0.1260323 "mins" "params_EndSize0d1Carring_competition_0d7"
51 0.1172588 "mins" "params_EndSize0d1Carring_competition_0d7"
52 0.1049235 "mins" "params_EndSize0d1Carring_competition_0d7"
53 0.2241508 "mins" "params_EndSize0d1Carring_competition_0d7"
54 0.1391158 "mins" "params_EndSize0d1Carring_competition_0d7"
55 0.1460139 "mins" "params_EndSize0d1Carring_competition_0d7"
56 0.09132988 "mins" "params_EndSize0d1Carring_competition_0d7"
57 0.1125594 "mins" "params_EndSize0d1Carring_competition_0d7"
58 0.136278 "mins" "params_EndSize0d1Carring_competition_0d7"
59 0.2459069 "mins" "params_EndSize0d1Carring_competition_0d7"
60 0.1164771 "mins" "params_EndSize0d1Carring_competition_0d7"
61 0.1385951 "mins" "params_EndSize0d1Carring_competition_0d7"
62 0.1348344 "mins" "params_EndSize0d1Carring_competition_0d7"
63 0.09906387 "mins" "params_EndSize0d1Carring_competition_0d7"
64 0.1188321 "mins" "params_EndSize0d1Carring_competition_0d7"
65 0.1326861 "mins" "params_EndSize0d1Carring_competition_0d7"
66 0.1023368 "mins" "params_EndSize0d1Carring_competition_0d7"
67 0.1333142 "mins" "params_EndSize0d1Carring_competition_0d7"
68 0.1404878 "mins" "params_EndSize0d1Carring_competition_0d7"
69 0.09723246 "mins" "params_EndSize0d1Carring_competition_0d7"
70 0.08814076 "mins" "params_EndSize0d1Carring_competition_0d7"
71 0.1058493 "mins" "params_EndSize0d1Carring_competition_0d7"
72 0.1328842 "mins" "params_EndSize0d1Carring_competition_0d7"
73 0.10617 "mins" "params_EndSize0d1Carring_competition_0d7"
74 0.09332585 "mins" "params_EndSize0d1Carring_competition_0d7"
75 0.186502 "mins" "params_EndSize0d1Carring_competition_0d7"
76 0.1392468 "mins" "params_EndSize0d1Carring_competition_0d7"
77 0.1320831 "mins" "params_EndSize0d1Carring_competition_0d7"
78 0.1755683 "mins" "params_EndSize0d1Carring_competition_0d7"
79 0.09833462 "mins" "params_EndSize0d1Carring_competition_0d7"
80 0.1297583 "mins" "params_EndSize0d1Carring_competition_0d7"
81 0.1469204 "mins" "params_EndSize0d1Carring_competition_0d7"
82 0.07852383 "mins" "params_EndSize0d1Carring_competition_0d7"
83 0.08899516 "mins" "params_EndSize0d1Carring_competition_0d7"
84 0.1191946 "mins" "params_EndSize0d1Carring_competition_0d7"
85 0.1384466 "mins" "params_EndSize0d1Carring_competition_0d7"
86 0.1137043 "mins" "params_EndSize0d1Carring_competition_0d7"
87 0.1036746 "mins" "params_EndSize0d1Carring_competition_0d7"
88 0.09248212 "mins" "params_EndSize0d1Carring_competition_0d7"
89 0.08035305 "mins" "params_EndSize0d1Carring_competition_0d7"
90 0.1174556 "mins" "params_EndSize0d1Carring_competition_0d7"
91 0.160839 "mins" "params_EndSize0d1Carring_competition_0d7"
92 0.09396337 "mins" "params_EndSize0d1Carring_competition_0d7"
93 0.08139201 "mins" "params_EndSize0d1Carring_competition_0d7"
94 0.1407449 "mins" "params_EndSize0d1Carring_competition_0d7"
95 0.1686774 "mins" "params_EndSize0d1Carring_competition_0d7"
96 0.08850319 "mins" "params_EndSize0d1Carring_competition_0d7"
97 0.1755008 "mins" "params_EndSize0d1Carring_competition_0d7"
98 0.1124934 "mins" "params_EndSize0d1Carring_competition_0d7"
99 0.1499563 "mins" "params_EndSize0d1Carring_competition_0d7"
100 0.159642 "mins" "params_EndSize0d1Carring_competition_0d7"
1 0.1457064 "mins" "params_EndSize0d1Carring_growth_0d1"
2 0.1123895 "mins" "params_EndSize0d1Carring_growth_0d1"
3 0.1268544 "mins" "params_EndSize0d1Carring_growth_0d1"
4 0.08663274 "mins" "params_EndSize0d1Carring_growth_0d1"
5 0.1813672 "mins" "params_EndSize0d1Carring_growth_0d1"
6 0.1187377 "mins" "params_EndSize0d1Carring_growth_0d1"
7 0.09798192 "mins" "params_EndSize0d1Carring_growth_0d1"
8 0.1106467 "mins" "params_EndSize0d1Carring_growth_0d1"
9 0.07897073 "mins" "params_EndSize0d1Carring_growth_0d1"
10 0.0910181 "mins" "params_EndSize0d1Carring_growth_0d1"
